initialRelayScenario,sensorScenario,NmbrofSensors,Algorithm,smin,fmin,NmbrofFcal,RunTime
Uniformly Distributed,Clustered - Corner,48,l2,"(0.25,0.29)",4.44375026807524,170,70.1558
Uniformly Distributed,Clustered - Corner,48,Nelder-Mead Simplex,"(0.25,0.29)",4.4437503653622,63,2.6625
Uniformly Distributed,Clustered - Corner,48,Log Barrier,"(0.15,0.18)",5.57210711602388,0,0.3856
Uniformly Distributed,Clustered - Corner,96,Monte Carlo,"(0.21,0.31)",7.70431040141754,100,3.2687
Uniformly Distributed,Clustered - Corner,96,l2,"(0.25,0.27)",7.43485594750608,191,114.4201
Uniformly Distributed,Clustered - Corner,96,Nelder-Mead Simplex,"(0.25,0.27)",7.43485621231323,59,2.1924
Uniformly Distributed,Clustered - Corner,96,Log Barrier,"(0.15,0.18)",9.22871216134685,0,0.8343
Uniformly Distributed,Clustered - Corner,192,Monte Carlo,"(0.2,0.24)",15.693495659599,100,2.8225
Uniformly Distributed,Clustered - Corner,192,l2,"(0.27,0.24)",14.8375573179543,171,146.3384
Uniformly Distributed,Clustered - Corner,192,Nelder-Mead Simplex,"(0.27,0.24)",14.8375578144601,60,2.3289
Uniformly Distributed,Clustered - Corner,192,Log Barrier,"(0.15,0.18)",18.3302999843615,0,0.6429
Uniformly Distributed,Clustered - Corner,384,Monte Carlo,"(0.28,0.31)",33.8805585770294,100,4.032
Uniformly Distributed,Clustered - Corner,384,l2,"(0.27,0.25)",32.1156014791577,128,197.0912
Uniformly Distributed,Clustered - Corner,384,Nelder-Mead Simplex,"(0.27,0.25)",32.115602343095,58,4.7127
Uniformly Distributed,Clustered - Corner,384,Log Barrier,"(0.15,0.18)",39.4582886437319,0,1.808
Uniformly Distributed,Clustered - Centre,3,Monte Carlo,"(0.42,0.54)",0.107812752367498,100,0.3429
Uniformly Distributed,Clustered - Centre,3,l2,"(0.48,0.52)",0.0749754063259843,84,19.9606
Uniformly Distributed,Clustered - Centre,3,Nelder-Mead Simplex,"(0.49,0.54)",0.0716885295853979,91,2.0966
